Timeline,Start time,Duration,Row,Instance number,CROSSING,Cross Destination,Cross Origins,Cross Outcome,Cross Type,Defending Actions,FIRST PHASE,Fouled,Goalkeeper Actions,OFFSIDE,Offsides,PEN AREA ENTRY,POSSESSION THIRDS,Pass Destination,Pass Outcome,Pass Outcome - Destination,Pass Type,Receiving Type,SECOND PHASE,SHOOTING,Scoring,Set Piece,Shooting Heat Graph,Shot Faced Location,Shots,TRANSITION,Turnover,Ungrouped,Notes,Flags
Individual XML,4942.963321653911,14.0,Team Actions,390,,,,,,Ground Duel +,,,,,,,,,,,,,,,,,,,,,,,,
Individual XML,4946.323321636904,14.0,Team Actions,391,,,,,,INTERCEPTION +,,,,,,,,,Complete,,Over,,,,,,,,,,,,,
Individual XML,4949.443321619898,14.0,Team Actions,392,,,,,,,,,,,,,,,,,,Seam 2,,,,,,,,,,,,
Individual XML,4952.563321602891,14.0,Team Actions,393,,,,,,,,,,,,,,Pass into box,Incomplete,Incomplete,Through,,,,,,,,,,,,,
Individual XML,4968.64332151644,14.0,Team Actions,394,,,,,,Aerial Duel +,,,,,,,,,,,,,,,,,,,,,,,,
Individual XML,4970.803321505102,14.0,Team Actions,395,,,,,,Aerial Duel +,,,,,,,,,,,,,,,,,,,,,,,,
Individual XML,4979.393299319728,14.0,Team Actions,396,,,,,,Ground Duel +,,,,,,,,,,,,,,,,,,,,,,,,
Individual XML,4980.353299315476,14.0,Team Actions,397,,,,,,Ground Duel +,,,,,,,,,Complete,,Around,,,,,,,,,,,,,
Individual XML,4981.90328798186,14.0,Team Actions,398,,,,,,,,,,,,,,,Complete,,Around,Seam 2,,,,,,,,,,,,
Individual XML,4984.783287969104,8.0,Team Actions,399,,CD Zone 00 L,CO Zone XAR,Teammate Found,Whipped,,,,,,,,,,,,,Seam 2,,,,,,,,,,,,
Individual XML,4989.343287945011,14.0,Team Actions,400,,,,,,,,,,,,,,,,,,,,,,,SL Zone 00 L,,"SHOT ON TARGET, SHOT",,,,,
Individual XML,5005.123276638322,14.0,Team Actions,401,,,,,,INTERCEPTION +,,,,,,,,,,,,,,,,,,,,,,,,
Individual XML,5008.4132539540815,14.0,Team Actions,402,,,,,,Aerial Duel +,,Fouled,,,,,,,Complete,,Backwards,,,,,,,,,,,,,
Individual XML,5020.274875283447,14.0,Team Actions,403,,,,,,,,,,,,,,,Complete,,Backwards,,,,,,,,,,,,,
Individual XML,5021.83487527636,14.0,Team Actions,404,,,,,,,,,,,,,,Pass into F3,Complete,Complete,Around,Below,,,,,,,,,,,,
Individual XML,5024.234875263605,14.0,Team Actions,405,,,,,,,,,,,,,,Pass into box,,Incomplete,,Seam 1,,,,,,,,,,,,
Individual XML,5054.93986386763,14.0,Team Actions,406,,,,,,,,,,,,,,,,,,,,,,Set Piece,,,,,,,,
Individual XML,5083.561666527778,14.0,Team Actions,407,,,,,,,,,,,,,,,,,,,,,,Set Piece,,,SHOT ASSIST,,,,,
Individual XML,5087.04999993339,8.0,Team Actions,408,,,,,,,,,,,,,,,,,,,,,,,SL Gold Zone,,SHOT,,,,,
Individual XML,5111.954852560941,14.0,Team Actions,409,,CD Zone 00 L,CO Zone XAL,Teammate Found,Whipped,Ground Duel +,,,,,,,,,,,,,,,,,,,,,,,,
Individual XML,5117.035,14.0,Team Actions,410,,,,,,,,,,,,,,,,,,,,,,,SL Gold Zone,,"SHOT, SHOT ON TARGET",,,,,
Individual XML,5119.344977318594,8.0,Team Actions,411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Individual XML,5128.184965986395,14.0,Team Actions,412,,,,,,Aerial Duel +,,,,,,,,,,,,,,,,,,,,,,,,
Individual XML,5140.924999997165,14.0,Team Actions,413,,,,,,,,,Loose Ball Claim,,,,,,,,,,,,,,,,,,,,,
Individual XML,5143.32499998441,14.0,Team Actions,414,,,,,,,,,,,,,,,Complete,,Neutral,,,,,,,,,,,,,
Individual XML,5148.893299314059,14.0,Team Actions,415,,,,,,,,,,,,,,,Complete,,Through,Neutral,,,,,,,,,,,,
Individual XML,5149.733299309807,14.0,Team Actions,416,,,,,,,,,,,,,,,Complete,,Around,Seam 1,,,,,,,,,,,,
Individual XML,5152.9732992928,8.0,Team Actions,417,,,,,,,,,,,,,,Pass into F3,Complete,Complete,Around,Seam 2,,,,,,,,,,,,
Individual XML,5157.533299268707,14.0,Team Actions,418,,CD Black Box,CO Zone XAR,Teammate Found,Whipped,,,,,,,,,,,,,Seam 2,,,,,,,SHOT ASSIST,,,,,
Individual XML,5161.373299247449,14.0,Team Actions,419,,,,,,,,,,,,,,,,,,,,,,,SL Black Box,,SHOT,,,,,
Individual XML,5195.993276632653,14.0,Team Actions,420,,,,,,Aerial Duel +,,,,,,,,,,,,,,,,,,,,,,,,
Individual XML,5214.573253968254,14.0,Team Actions,421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Individual XML,5215.893253962585,14.0,Team Actions,422,,,,,,,,,,,,,,,Complete,,Backwards,Below,,,,,,,,,,,,
Individual XML,5218.17325394983,14.0,Team Actions,423,,,,,,,,,,,,,,,Complete,,Through,Below,,,,,,,,,,,,
