Timeline,Start time,Duration,Row,Instance number,Cross Destination,Cross Origins,Cross Outcome,Cross Type,Defending Actions,Fouled,Goalkeeper Actions,Offsides,Pass Destination,Pass Outcome,Pass Outcome - Destination,Pass Type,Receiving Type,Scoring,Set Piece,Shooting Heat Graph,Shot Faced Location,Shots,Turnover,Ungrouped,Notes,Flags
INDIVIDUAL',1169.603788,14,Kate Taylor,21,,,,,,,,,,Complete,,Through,Seam 1,,,,,,,,,
INDIVIDUAL',1183.980611,14,Kate Taylor,22,,,,,,,,,,Complete,,Through,,,,,,,,,,
INDIVIDUAL',1246.907676,14,Kate Taylor,23,,,,,,,,,,,,,,Goal,,SL Black Box,,"SHOT ON TARGET, SHOT",,,,
INDIVIDUAL',1343.682373,14,Kate Taylor,24,,,,,,,,,,Complete,,Backwards,Neutral,,,,,,,,,
INDIVIDUAL',1357.620998,14,Kate Taylor,25,,,,,,,,,,Complete,,Through,,,,,,,,,,
INDIVIDUAL',1528.52104,14,Kate Taylor,26,,,,,,,,,,Complete,,Around,Below,,,,,,,,,
INDIVIDUAL',1703.926759,14,Kate Taylor,27,,,,,,,,,,Complete,,Around,Below,,,,,,,,,
INDIVIDUAL',1793.242295,14,Kate Taylor,28,,,,,,,,,,Complete,,Around,Below,,,,,,,,,
INDIVIDUAL',1853.242536,14,Kate Taylor,29,,,,,,,,,,Complete,,"Backwards, Backwards, Neutral",Neutral,,,,,,,,,
INDIVIDUAL',1860.030402,14,Kate Taylor,30,,,,,,,,,,Complete,,Around,Below,,,,,,,,,
INDIVIDUAL',1864.393043,14,Kate Taylor,31,,,,,,,,,,Complete,,Through,Below,,,,,,,,,
INDIVIDUAL',1879.890848,14,Kate Taylor,32,,,,,,,,,,Complete,,Through,Below,,,,,,,,,
INDIVIDUAL',1911.674912,14,Kate Taylor,33,,,,,,,,,,Complete,,Around,Below,,,,,,,,,
INDIVIDUAL',1996.9456,14,Kate Taylor,34,,,,,,,,,,Complete,,Neutral,,,,,,,,,,
INDIVIDUAL',2183.438842,14,Kate Taylor,35,,,,,,,,,,Complete,,Neutral,Below,,,,,,,,,
INDIVIDUAL',2192.083187,14,Kate Taylor,36,,,,,,,,,,Complete,,Neutral,Below,,,,,,,,,
INDIVIDUAL',2224.197051,14,Kate Taylor,37,,,,,,,,,,Complete,,Neutral,Neutral,,,,,,,,,
INDIVIDUAL',2232.830676,14,Kate Taylor,38,,,,,,,,,,Complete,,Around,Below,,,,,,,,,
INDIVIDUAL',2339.577628,14,Kate Taylor,39,,,,,,,,,,Complete,,Neutral,Neutral,,,,,,,,,
INDIVIDUAL',2391.323396,14,Kate Taylor,40,,,,,,,,,Pass into F3,Complete,Complete,Through,Below,,,,,,,,,
INDIVIDUAL',2430.373379,14,Kate Taylor,41,,,,,,,,,,Complete,,Neutral,Neutral,,,,,,,,,
INDIVIDUAL',2442.783307,14,Kate Taylor,42,,,,,,,,,Pass into F3,Complete,Complete,Through,Below,,,,,,,,,
INDIVIDUAL',2465.035935,14,Kate Taylor,43,,,,,Ground Duel -,,,,,,,,,,,,,,,,,
INDIVIDUAL',2689.024767,14,Kate Taylor,44,,,,,,,,,,,,,,,,,,,,,,
INDIVIDUAL',2828.757897,14,Kate Taylor,45,,,,,,,,,,Complete,,Around,Below,,,,,,,,,
INDIVIDUAL',3136.81375,14,Kate Taylor,46,,,,,,,,,Pass into F3,Incomplete,Incomplete,Through,,,,,,,,,,
INDIVIDUAL',3159.678803,14,Kate Taylor,47,,,,,,,,,Pass into F3,Complete,Complete,Around,Below,,,,,,,,,
INDIVIDUAL',3216.415869,14,Kate Taylor,48,,,,,,,,,,Complete,,Neutral,Below,,,,,,,,,
INDIVIDUAL',3333.343006,14,Kate Taylor,49,,,,,,,,,,Complete,,Neutral,,,,,,,,,,
INDIVIDUAL',3372.085287,14,Kate Taylor,50,,,,,,,,,,,,,,,,SL Black Box,,SHOT,,,,
INDIVIDUAL',3592.352859,14,Kate Taylor,51,,,,,Aerial Duel -,,,,,,,,,,,,,,,,,
INDIVIDUAL',3645.702736,14,Kate Taylor,52,,,,,,,,,,Complete,,Neutral,Below,,,,,,,,,
INDIVIDUAL',3667.89846,14,Kate Taylor,53,,,,,,,,,,Complete,,Neutral,,,,,,,,,,
INDIVIDUAL',3783.769007,14,Kate Taylor,54,,,,,Aerial Duel -,,,,,,,,,,,,,,,,,
INDIVIDUAL',3897.40504,14,Kate Taylor,55,,,,,,,,,Pass into F3,Complete,Complete,Through,Below,,,,,,,,,
INDIVIDUAL',4098.918705,14,Kate Taylor,56,,,,,,,,,,Complete,,Neutral,Neutral,,,,,,,,,
INDIVIDUAL',4180.276553,14,Kate Taylor,57,,,,,Aerial Duel +,,,,,,,,,,,,,,,,,
INDIVIDUAL',4210.285965,14,Kate Taylor,58,,,,,,,,,,Complete,,Neutral,Neutral,,,,,,,,,
INDIVIDUAL',4250.346732,14,Kate Taylor,59,,,,,Aerial Duel -,,,,,,,,,,,,,,,,,
INDIVIDUAL',4348.951758,14,Kate Taylor,60,,,,,Aerial Duel +,,,,,,,,,,,,,,,,,
INDIVIDUAL',4418.143433,14,Kate Taylor,61,,,,,,,,,,Complete,,Backwards,Seam 1,,,,,,,,,
INDIVIDUAL',4523.717981,14,Kate Taylor,62,,,,,,,,,,Incomplete,,Through,Neutral,,,,,,,,,
INDIVIDUAL',4546.070357,14,Kate Taylor,63,,,,,,,,,,Complete,,Neutral,Below,,,,,,,,,
INDIVIDUAL',4557.331573,14,Kate Taylor,64,,,,,,,,,Pass into box,Incomplete,Incomplete,Through,Seam 1,,,,,,,,,
INDIVIDUAL',4595.343631,14,Kate Taylor,65,,,,,,,,,,Complete,,Around,Below,,,,,,,,,
INDIVIDUAL',4600.688094,14,Kate Taylor,66,,,,,,,,,,Complete,,Neutral,Below,,,,,,,,,
INDIVIDUAL',4624.294499,14,Kate Taylor,67,,,,,,,,,Pass into F3,Complete,Complete,Over,Below,,,,,,,,,
INDIVIDUAL',4670.18401,14,Kate Taylor,68,,,,,,,,,Pass into F3,Complete,Complete,Through,Neutral,,,,,,,,,
INDIVIDUAL',4699.858259,14,Kate Taylor,69,,,,,,,,,Pass into box,Incomplete,Incomplete,Through,Seam 1,,,,,,,,,
INDIVIDUAL',4822.734238,14,Kate Taylor,70,,,,,,,,,,,,,,,,SL Zone TWO C,,SHOT,,,,
INDIVIDUAL',4862.955653,14,Kate Taylor,71,,,,,,,,,Pass into F3,Complete,Complete,Around,Below,,,,,,,,,
INDIVIDUAL',5094.785737,14,Kate Taylor,72,,,,,,,,,,Complete,,Neutral,Neutral,,,,,,,,,
INDIVIDUAL',5139.195753,14,Kate Taylor,73,,,,,Aerial Duel +,,,,,,,,,,,,,,,,,
INDIVIDUAL',5142.09322,14,Kate Taylor,74,,,,,INTERCEPTION +,,,,,,,,,,,,,,,,,
INDIVIDUAL',5172.973797,14,Kate Taylor,75,,,,,INTERCEPTION +,,,,,,,,,,,,,,,,,
INDIVIDUAL',5308.096488,14,Kate Taylor,76,,,,,,,,,Pass into F3,Complete,Complete,Through,Below,,,,,,,,,
INDIVIDUAL',5326.476014,14,Kate Taylor,77,,,,,,,,,,Complete,,Through,Seam 1,,,,,,,,,
INDIVIDUAL',5412.391923,14,Kate Taylor,78,,,,,,,,,Pass into F3,Complete,Complete,Through,Neutral,,,,,,,,,
INDIVIDUAL',5488.496774,14,Kate Taylor,79,,,,,,,,,,Complete,,Neutral,,,,,,,,,,
INDIVIDUAL',51.56647145,14,Rebekah Stott,1,,,,,,,,,,Complete,,Around,Neutral,,,,,,,,,
INDIVIDUAL',88.92126309,14,Rebekah Stott,2,,,,,,,,,Pass into F3,Complete,Complete,Through,Neutral,,,,,,,,,
INDIVIDUAL',100.3443598,14,Rebekah Stott,3,,,,,,,,,,Complete,,Through,Below,,,,,,,,,
INDIVIDUAL',171.2451912,14,Rebekah Stott,4,,,,,,,,,,Complete,,Backwards,,,,,,,,,,
INDIVIDUAL',175.0402873,14,Rebekah Stott,5,,,,,,,,,Pass into F3,Complete,Complete,Through,Below,,,,,,,,,
INDIVIDUAL',192.0406627,14,Rebekah Stott,6,,,,,,,,,,Complete,,Around,Below,,,,,,,,,
INDIVIDUAL',234.4663151,14,Rebekah Stott,7,,,,,INTERCEPTION +,,,,Pass into F3,Complete,Complete,Through,,,,,,,,,,
INDIVIDUAL',273.9203448,14,Rebekah Stott,8,,,,,Aerial Duel +,,,,,Complete,,Backwards,,,,,,,,,,
INDIVIDUAL',294.5288499,14,Rebekah Stott,9,,,,,,,,,,Complete,,Neutral,Neutral,,,,,,,,,
INDIVIDUAL',445.2019535,14,Rebekah Stott,10,,,,,INTERCEPTION +,,,,,Complete,,Neutral,,,,,,,,,,
INDIVIDUAL',505.0473654,14,Rebekah Stott,11,,,,,INTERCEPTION +,,,,,,,,,,,,,,,,,
INDIVIDUAL',514.9294401,14,Rebekah Stott,12,,,,,,,,,,Complete,,Backwards,,,,,,,,,,
INDIVIDUAL',520.8095134,14,Rebekah Stott,13,,,,,,,,,,Complete,,Backwards,Seam 1,,,,,,,,,
INDIVIDUAL',536.5976795,14,Rebekah Stott,14,,,,,Ground Duel -,,,,,,,,,,,,,,,,,
INDIVIDUAL',542.1891882,14,Rebekah Stott,15,,,,,,,,,,Complete,,Backwards,,,,,,,,,,
INDIVIDUAL',630.6933539,14,Rebekah Stott,16,,,,,,,,,,,,,Below,,,,,,,,,
INDIVIDUAL',647.6027825,14,Rebekah Stott,17,,,,,,,,,Pass into F3,Complete,Complete,Through,,,,,,,,,,
INDIVIDUAL',707.9650535,14,Rebekah Stott,18,,,,,,,,,,Complete,,Through,,,,,,,,,,
INDIVIDUAL',719.4391682,14,Rebekah Stott,19,,,,,,,,,,Complete,,Backwards,Below,,,,,,,,,
INDIVIDUAL',767.1386858,14,Rebekah Stott,20,,,,,INTERCEPTION +,,,,Pass into F3,Complete,Complete,Around,,,,,,,,,,
INDIVIDUAL',837.1008202,14,Rebekah Stott,21,,,,,,,,,,Complete,,Backwards,Seam 1,,,,,,,,,
INDIVIDUAL',853.5738052,14,Rebekah Stott,22,,,,,Ground Duel -,,,,,,,,,,,,,,,,,
INDIVIDUAL',874.1301103,14,Rebekah Stott,23,,,,,,,,,,Complete,,Backwards,Seam 1,,,,,,,,,
INDIVIDUAL',882.5316512,14,Rebekah Stott,24,,,,,,,,,,Complete,,Backwards,Neutral,,,,,,,,,
INDIVIDUAL',888.732486,14,Rebekah Stott,25,,,,,,,,,,Complete,,Backwards,Neutral,,,,,,,,,
